"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"3507","MAFANG","Mirae Asset FANG+ETF","EQ","1.0000","1","ETF","E","NSE","108.8600","72.5700","","","1102153"
"3530","AXISBPSETF","Axis Bond Plus ETF","EQ","1.0000","1","ETF","E","NSE","14.3500","9.5600","","","8360738"
"3608","AXISHCETF","Axis Healthcare ETF","EQ","1.0000","1","ETF","E","NSE","167.6700","111.7800","","","47564"
"3626","HEALTHIETF","ICICI Prud HealthCare ETF","EQ","1.0000","1","ETF","E","NSE","168.3400","112.2300","","","303168"
"4973","PHARMABEES","Nippon Nifty Pharma","EQ","1.0000","1","ETF","E","NSE","26.9400","17.9600","","","4454263"
"5168","SBIETFCON","SBI Consumption ETF","EQ","1.0000","1","ETF","E","NSE","142.7000","95.1300","","","68775"
"5220","BFSI","Mirae Nifty Fin Serv ETF","EQ","1.0000","1","ETF","E","NSE","27.7600","18.5100","","","3442960"
"5732","AXISCETF","Axis Consumption ETF","EQ","1.0000","1","ETF","E","NSE","142.5300","95.0200","","","41020"
"5782","MASPTOP50","Mirae Asset S&P 500 Top 50 ETF","EQ","1.0000","1","ETF","E","NSE","50.9100","33.9400","","","2356685"
"6297","HEALTHY","ABSL Nifty Healthcare ETF","EQ","1.0000","1","ETF","E","NSE","16.9000","11.2700","","","747342"
"3001","BSE500IETF","ICICI BSE 500 ETF","EQ","1.0000","1","ETF","E","NSE","45.8100","30.5400","","","2355216"
"6446","CONSUMIETF","ICICI Prud Consumption ETF","EQ","1.0000","1","ETF","E","NSE","143.0700","95.3800","","","125489"
"6462","TECH","Aditya Birla Nifty IT ETF","EQ","1.0000","1","ETF","E","NSE","49.7800","33.1900","","","660697"
"6606","EQUAL50ADD","DSP Nifty 50 Eq Weight ETF","EQ","1.0000","1","ETF","E","NSE","379.4100","252.9400","","","203609"
"13987","ABSLBANETF","Aditya Birla Banking ETF","EQ","1.0000","1","ETF","E","NSE","60.6100","40.4000","","","1979765"
